idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,extra_trees_preproc_for_classification:bootstrap,extra_trees_preproc_for_classification:criterion,extra_trees_preproc_for_classification:max_depth,extra_trees_preproc_for_classification:max_features,extra_trees_preproc_for_classification:min_samples_leaf,extra_trees_preproc_for_classification:min_samples_split,extra_trees_preproc_for_classification:n_estimators,fast_ica:algorithm,fast_ica:fun,fast_ica:n_components,fast_ica:whiten,feature_agglomeration:affinity,feature_agglomeration:linkage,feature_agglomeration:n_clusters,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kernel_pca:coef0,kernel_pca:degree,kernel_pca:gamma,kernel_pca:kernel,kernel_pca:n_components,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,pca:keep_variance,pca:whiten,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t
61,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,3937.3822653724947,auto,False,True,1,l2,ovr,l2,0.005513698210165905,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0020841018784736156,,0.06646318040954442,True,0.5384448115912315,optimal,log,718,elasticnet,
62,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,True,gini,None,1.5900602615477168,1,16,100,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9463791148684694e-05,True,hinge,806,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
63,,,,,none,extra_trees,,,,,,,True,gini,None,1.5537066766758199,12,7,100,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,min/max,,,,21.22630697932344,chi2,,,,,,,,,,,,,
64,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
65,SAMME.R,0.1861948834091426,2,165,none,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,min/max,,,,,,0.45422503655427127,fwe,f_classif,,,,,,,,,,
66,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.00013437777615669326,0.0002561568000742165,0.05222815237004391,True,,constant,modified_huber,429,l1,
67,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,1.9185095562160415,2380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0002949748075958777,0.0006262044240265523,0.03732447320786643,True,,optimal,modified_huber,128,l2,
68,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
69,,,,,none,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,2.4314942202097067,rbf,1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,normalize,1.3065758764776561e-05,True,0.0007609868344036117,,,,,,,,,,,,,,,
70,,,,,none,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37888379543406586,10,4.827956317902033,6,13,100,0.5828377023393366,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,min/max,,,,,,0.018656049341878422,fdr,f_classif,,,,,,,,,,
71,,,,,weighting,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,1.637932423258662,1266,151,0.0001734736420301346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
72,,,,,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04464222734264599,10,4.390060455729381,9,15,100,0.614752911410351,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,min/max,,,,37.10201033568706,chi2,,,,,,,,,,,,,
73,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,1.6331524928009107,rbf,761,,,,,44.501681603831145,auto,False,True,1,l2,ovr,l2,0.0018788986680574073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,
74,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,True,gini,None,3.1877901075224706,None,4,7,100,,,,,,standard,,,,5.0989843474455645,f_classif,,,,,,,,,,,,,
75,,,,,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,average,89,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.45217817427124,auto,,,0.044230019328469025,rbf,-1,False,0.01804876703786286,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,
76,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,
77,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
78,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
79,,,,,none,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47682959172287465,3,0.0817500204361975,poly,7840,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,min/max,3.5247879633073613e-06,True,2.639257688953377e-05,,,,,,,,,,,,,,,
80,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
81,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3112561657810007,True,hinge,948,,,select_percentile_classification,,,,,,,,,,,,,,,,min/max,,,,83.36692474869163,chi2,,,,,,,,,,,,,
82,,,,,none,gaussian_nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,min/max,,,,,,0.16177128433643997,fdr,f_classif,,,,,,,,,,
83,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,
84,,,,,weighting,extra_trees,,,,,,,False,entropy,None,2.058659041543273,1,3,100,,,,,,,,,,,,cosine,complete,71,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
85,,,,,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,deflation,exp,1458,True,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.208812108914,None,-0.2876945295291491,1,0.03994500201822099,poly,-1,False,0.012246066722198906,,,,,,,,,,,,,,fast_ica,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
86,,,,,weighting,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,0.029019457242400425,rbf,1971,,,232,0.0008048768970843396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
87,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,9.175504903672477,None,False,True,1,l2,ovr,l2,0.013834129577528618,678.9753858430612,auto,False,True,1,l2,ovr,l2,0.00015222324610646566,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
88,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
89,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,complete,307,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,False,entropy,None,4.664435481931303,None,1,12,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
90,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
91,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6088266276010387,False,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
92,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,complete,21,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,False,gini,None,1.9257702674120465,None,1,20,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
93,,,,,weighting,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.481081798957288,3450,25,0.04265535609553472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
94,,,,,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15533933603222821,10,4.534366898338696,16,12,100,0.9850162449073304,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,none,,,,,,0.28196630573344134,fdr,f_classif,,,,,,,,,,
95,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,1.0788604704526727,771,,,8.638619612438676,None,False,True,1,l2,ovr,l2,3.898062486834489e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,
96,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
97,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.6210665065766494,6034,,,780.9762754676038,auto,False,True,1,l2,ovr,l2,2.6086901630174615e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
98,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
99,SAMME.R,0.1861948834091426,2,165,none,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,none,,,,,,0.45422503655427127,fwe,f_classif,,,,,,,,,,
100,,,,,weighting,passive_aggresive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12026337660330011,3,1.1582575176356833,poly,3849,1.3452022220098043e-05,True,hinge,426,,,nystroem_sampler,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,
101,,,,,none,libsvm_svc,,,,,,,,,,,,,,True,entropy,None,1.8232866865224298,18,16,100,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5954.534725600694,None,,,0.017312195813451146,rbf,-1,True,6.60086503076488e-05,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,
102,,,,,none,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029494945880221553,10,2.88511663881307,6,13,100,0.7035642464886683,mean,,,,,,,,,,,,,,,,,,,,,,,,329.2739731780104,None,False,True,1,l2,ovr,l2,0.0007746734884636947,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
103,,,,,none,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,0.5193928872785065,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,normalize,1.5903587572073658e-05,True,9.213150591825412e-05,,,,,,,,,,,,,,,
104,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
105,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
106,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
107,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,
108,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
109,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,True,entropy,None,2.0033025228447174,None,1,7,100,,,,,,min/max,,,,,,0.10408776646409434,fwe,f_classif,,,,,,,,,,
110,,,,,weighting,extra_trees,,,,,,,False,entropy,None,2.058659041543273,1,3,100,,,,,,,,,,,,cosine,complete,71,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
111,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
112,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
113,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
114,SAMME.R,0.6993044034154189,3,346,weighting,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,complete,49,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
115,,,,,weighting,random_forest,,,,,,,,,,,,,,True,entropy,None,3.6179656659864237,6,2,100,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,True,entropy,None,0.8574660928172714,None,14,15,100,,,,,,normalize,,,,,,,,,,,,,,,,,,
116,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,1.015527825912722,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,9.849072822718798e-05,True,7.709455427519569e-05,,,,,,,,,,,,,,,
117,,,,,none,gradient_boosting,,,,,,,,,,,,,,False,entropy,None,4.362733099765638,18,10,100,,,,,,,,0.08004576056147356,8,3.293939511216568,12,20,100,0.9212418045874131,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
118,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,9.12289388045085,auto,False,True,1,l2,ovr,l2,0.0006941751064354955,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,standard,,,,,,,,,2.3700611207598537e-06,,0.06533728461727917,True,0.4909583799330445,invscaling,log,424,elasticnet,0.1628309471415556
119,,,,,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40867709226184984,3,4.902322335556055,20,19,100,0.92316849738149,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,min/max,,,,97.22149324284395,f_classif,,,,,,,,,,,,,
120,,,,,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,18592.554335798097,auto,False,True,1,l2,ovr,l2,0.04023227085496224,6111.712114902783,None,0.844884936772573,5,0.11788296024604372,poly,-1,False,0.0010929809050057324,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
121,,,,,none,qda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,1.4809622666015643,0.00038661829189885565,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,
122,,,,,none,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,203,0.09353421360251835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,normalize,,,,,,0.04817828169545157,fwe,f_classif,,,,,,,,,,
123,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,
124,,,,,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,True,gini,None,1.0,None,1,2,100,,,,,,min/max,,,,,,,,,,,,,,,,,,
125,SAMME.R,0.010426982506513733,5,427,weighting,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
126,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,,,7,None,5,4,77,min/max,,,,,,,,,2.800394040660551e-05,,0.09801619041516592,True,,invscaling,log,552,l2,0.594745449134537
127,,,,,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,min/max,,,,,,0.30355239228949954,fpr,f_classif,2.29341799224216e-05,,0.06551103992182554,True,0.9262362028304749,constant,perceptron,338,elasticnet,
128,,,,,none,multinomial_nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,
129,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.0001,,0.01,True,,optimal,hinge,20,l2,
