idx,imputation:strategy,one_hot_encoding:minimum_fraction,one_hot_encoding:use_minimum_fraction,preprocessor:__choice__,preprocessor:extra_trees_preproc_for_regression:bootstrap,preprocessor:extra_trees_preproc_for_regression:criterion,preprocessor:extra_trees_preproc_for_regression:max_depth,preprocessor:extra_trees_preproc_for_regression:max_features,preprocessor:extra_trees_preproc_for_regression:min_samples_leaf,preprocessor:extra_trees_preproc_for_regression:min_samples_split,preprocessor:extra_trees_preproc_for_regression:min_weight_fraction_leaf,preprocessor:extra_trees_preproc_for_regression:n_estimators,preprocessor:fast_ica:algorithm,preprocessor:fast_ica:fun,preprocessor:fast_ica:n_components,preprocessor:fast_ica:whiten,preprocessor:feature_agglomeration:affinity,preprocessor:feature_agglomeration:linkage,preprocessor:feature_agglomeration:n_clusters,preprocessor:feature_agglomeration:pooling_func,preprocessor:kernel_pca:coef0,preprocessor:kernel_pca:degree,preprocessor:kernel_pca:gamma,preprocessor:kernel_pca:kernel,preprocessor:kernel_pca:n_components,preprocessor:kitchen_sinks:gamma,preprocessor:kitchen_sinks:n_components,preprocessor:nystroem_sampler:coef0,preprocessor:nystroem_sampler:degree,preprocessor:nystroem_sampler:gamma,preprocessor:nystroem_sampler:kernel,preprocessor:nystroem_sampler:n_components,preprocessor:pca:keep_variance,preprocessor:pca:whiten,preprocessor:polynomial:degree,preprocessor:polynomial:include_bias,preprocessor:polynomial:interaction_only,preprocessor:random_trees_embedding:max_depth,preprocessor:random_trees_embedding:max_leaf_nodes,preprocessor:random_trees_embedding:min_samples_leaf,preprocessor:random_trees_embedding:min_samples_split,preprocessor:random_trees_embedding:min_weight_fraction_leaf,preprocessor:random_trees_embedding:n_estimators,preprocessor:select_percentile_regression:percentile,preprocessor:select_percentile_regression:score_func,regressor:__choice__,regressor:adaboost:learning_rate,regressor:adaboost:loss,regressor:adaboost:max_depth,regressor:adaboost:n_estimators,regressor:ard_regression:alpha_1,regressor:ard_regression:alpha_2,regressor:ard_regression:fit_intercept,regressor:ard_regression:lambda_1,regressor:ard_regression:lambda_2,regressor:ard_regression:n_iter,regressor:ard_regression:threshold_lambda,regressor:ard_regression:tol,regressor:decision_tree:criterion,regressor:decision_tree:max_depth,regressor:decision_tree:max_features,regressor:decision_tree:max_leaf_nodes,regressor:decision_tree:min_samples_leaf,regressor:decision_tree:min_samples_split,regressor:decision_tree:min_weight_fraction_leaf,regressor:decision_tree:splitter,regressor:extra_trees:bootstrap,regressor:extra_trees:criterion,regressor:extra_trees:max_depth,regressor:extra_trees:max_features,regressor:extra_trees:min_samples_leaf,regressor:extra_trees:min_samples_split,regressor:extra_trees:n_estimators,regressor:gaussian_process:nugget,regressor:gaussian_process:thetaL,regressor:gaussian_process:thetaU,regressor:gradient_boosting:alpha,regressor:gradient_boosting:learning_rate,regressor:gradient_boosting:loss,regressor:gradient_boosting:max_depth,regressor:gradient_boosting:max_features,regressor:gradient_boosting:max_leaf_nodes,regressor:gradient_boosting:min_samples_leaf,regressor:gradient_boosting:min_samples_split,regressor:gradient_boosting:min_weight_fraction_leaf,regressor:gradient_boosting:n_estimators,regressor:gradient_boosting:subsample,regressor:k_nearest_neighbors:n_neighbors,regressor:k_nearest_neighbors:p,regressor:k_nearest_neighbors:weights,regressor:liblinear_svr:C,regressor:liblinear_svr:dual,regressor:liblinear_svr:epsilon,regressor:liblinear_svr:fit_intercept,regressor:liblinear_svr:intercept_scaling,regressor:liblinear_svr:loss,regressor:liblinear_svr:tol,regressor:libsvm_svr:C,regressor:libsvm_svr:coef0,regressor:libsvm_svr:degree,regressor:libsvm_svr:epsilon,regressor:libsvm_svr:gamma,regressor:libsvm_svr:kernel,regressor:libsvm_svr:max_iter,regressor:libsvm_svr:shrinking,regressor:libsvm_svr:tol,regressor:random_forest:bootstrap,regressor:random_forest:criterion,regressor:random_forest:max_depth,regressor:random_forest:max_features,regressor:random_forest:max_leaf_nodes,regressor:random_forest:min_samples_leaf,regressor:random_forest:min_samples_split,regressor:random_forest:min_weight_fraction_leaf,regressor:random_forest:n_estimators,regressor:ridge_regression:alpha,regressor:ridge_regression:fit_intercept,regressor:ridge_regression:tol,regressor:sgd:alpha,regressor:sgd:average,regressor:sgd:epsilon,regressor:sgd:eta0,regressor:sgd:fit_intercept,regressor:sgd:l1_ratio,regressor:sgd:learning_rate,regressor:sgd:loss,regressor:sgd:n_iter,regressor:sgd:penalty,regressor:sgd:power_t,rescaling:__choice__
52,most_frequent,0.001559668909077697,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,True,,,,,,,,,liblinear_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.082881730018572,False,0.06166886997671436,True,1,squared_epsilon_insensitive,3.292634310699719e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
53,most_frequent,0.00018336434733033234,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,False,,,,,,,,,ridge_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0788963816077994,True,0.0019964247408476264,,,,,,,,,,,,min/max
54,most_frequent,,False,kitchen_sinks,,,,,,,,,,,,,,,,,,,,,,0.42351600730409295,892,,,,,,,,,,,,,,,,,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1067576071518137e-05,False,,0.019401196467109992,True,0.002444229045110259,constant,squared_loss,49,elasticnet,,min/max
55,most_frequent,,False,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,False,,,,,,,,,liblinear_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3361.9184005338425,False,0.19761742421030834,True,1,squared_epsilon_insensitive,0.0033860379454174598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
56,most_frequent,0.07882861942785398,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liblinear_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9210298392615648,False,0.003124961381899488,True,1,squared_epsilon_insensitive,1.4560035005116349e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
57,mean,,False,kitchen_sinks,,,,,,,,,,,,,,,,,,,,,,0.620187571887624,3028,,,,,,,,,,,,,,,,,,,ridge_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021734462607454676,True,2.7960144386696057e-05,,,,,,,,,,,,standardize
58,most_frequent,,False,kitchen_sinks,,,,,,,,,,,,,,,,,,,,,,0.9395904387137406,3901,,,,,,,,,,,,,,,,,,,ard_regression,,,,,0.0005457239621301968,1.65092997592282e-07,True,1.1108711674607319e-09,1.020810041478766e-10,300,1931.248575594573,0.0019997076216804388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
59,median,,False,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,True,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,mse,None,4.4383753967065225,None,6,6,0.0,100,,,,,,,,,,,,,,,min/max
60,most_frequent,0.004535038763972565,True,extra_trees_preproc_for_regression,True,mse,None,4.347325260732746,10,14,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,libsvm_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23914.174724642544,,4,0.002004566226002717,0.8634952558838467,rbf,-1,False,0.024899956992494608,,,,,,,,,,,,,,,,,,,,,,,,min/max
61,median,,False,extra_trees_preproc_for_regression,True,mse,None,0.993528657198836,10,20,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,libsvm_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.5929428405466,,2,0.015939473931353206,0.7858707127149234,rbf,-1,False,0.0037322094857651553,,,,,,,,,,,,,,,,,,,,,,,,min/max
62,median,,False,extra_trees_preproc_for_regression,True,mse,None,3.296750799496171,1,15,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees,,,,,,,,,,,,,,,,,,,,,False,mse,None,2.5317611636176207,1,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
63,median,,False,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,True,,,,,,,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010253007043420141,True,0.012360934554990245,0.005644899783893197,True,,constant,epsilon_insensitive,132,l2,,min/max
64,mean,,False,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gaussian_process,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010148480388225148,0.00016676399867236993,3.16342061142116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
65,median,,False,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gaussian_process,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007642369343100022,1.8419258971411445e-05,0.9833146696212234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
66,mean,0.00016629738514881763,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,False,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,mse,None,4.592230471191443,None,4,6,0.0,100,,,,,,,,,,,,,,,min/max
67,median,0.00548806117992972,True,nystroem_sampler,,,,,,,,,,,,,,,,,,,,,,,,,,3.0972538714361577,rbf,5291,,,,,,,,,,,,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6864007905723228e-06,True,0.006559405529560316,0.07194784725205487,True,,constant,squared_epsilon_insensitive,89,l2,,min/max
68,mean,,False,nystroem_sampler,,,,,,,,,,,,,,,,,,,,,,,,0.1566448365058719,5,0.7004476388937543,poly,956,,,,,,,,,,,,,,ridge_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02849145741142527,True,0.001397013116831936,,,,,,,,,,,,min/max
69,median,0.0005361882641678341,True,kitchen_sinks,,,,,,,,,,,,,,,,,,,,,,1.9516292646600342,5226,,,,,,,,,,,,,,,,,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.844327967977615e-05,True,0.010965543419019197,0.02393286766186689,True,,constant,squared_epsilon_insensitive,502,l2,,min/max
70,mean,0.007129891763108858,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,libsvm_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.52007103508296,,2,0.0014545049235116735,0.8961440468564937,rbf,-1,False,0.005206529915661272,,,,,,,,,,,,,,,,,,,,,,,,min/max
71,median,0.0007503344309064792,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8485062230960784,0.03298642531249513,huber,5,0.6960372198390199,None,14,8,0.0,100,0.3573451555561757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
72,median,0.05987995402504049,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,True,,,,,,,,,extra_trees,,,,,,,,,,,,,,,,,,,,,True,mse,None,4.663594806506735,18,17,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
73,most_frequent,0.00234992390287966,True,extra_trees_preproc_for_regression,False,mse,None,0.8044960404154922,1,6,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,libsvm_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.5841951417159,,4,0.17570677855266975,0.0999999999999999,rbf,-1,True,0.001,,,,,,,,,,,,,,,,,,,,,,,,standardize
74,most_frequent,,False,extra_trees_preproc_for_regression,True,mse,None,2.5830935657278076,19,16,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,libsvm_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.962812951051284,,4,0.01204802523960763,0.1821781494294054,rbf,-1,False,1.3160253217209612e-05,,,,,,,,,,,,,,,,,,,,,,,,standardize
75,mean,0.0006534677841234812,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,False,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0358742835546163,ls,3,1.3646202291681209,None,17,11,0.0,100,0.6875570498500749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
76,mean,0.08567185090735716,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,False,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mse,None,2.3981698229031436,None,19,20,0.0,100,,,,,,,,,,,,,,,min/max
77,median,,False,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,False,,,,,,,,,liblinear_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12583724307049,False,0.0018926648667342925,True,1,squared_epsilon_insensitive,0.008267080450623797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
78,median,0.003145909671422029,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,False,,,,,,,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1154751316101943e-06,False,0.006276424097548576,0.038108446269937486,True,9.434769722730874e-09,invscaling,squared_epsilon_insensitive,305,elasticnet,0.45306002466009593,min/max
