idx,adaboost:algorithm,adaboost:base_estimator,adaboost:learning_rate,adaboost:n_estimators,classifier,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:metric,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,liblinear:C,liblinear:class_weight,liblinear:dual,liblinear:fit_intercept,liblinear:intercept_scaling,liblinear:loss,liblinear:multi_class,liblinear:penalty,liblinear:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,pca:keep_variance,pca:whiten,preprocessor,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,select_percentile_classification:percentile,select_percentile_classification:score_func,sgd:alpha,sgd:class_weight,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,sparse_filtering:N,sparse_filtering:maxiter,truncatedSVD:target_dim
942,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,80,5,distance,,,,,,,,,,,,,,,,,,,,,,,0.5510515675387793,True,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
943,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
944,,,,,extra_trees,True,gini,None,4.8417965421141815,6,4,100,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
945,,,,,multinomial_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04683197792693955,False,,,random_trees_embedding,,,,,,,,,8,None,2,17,92,min/max,,,,,,,,,,,,,,,,
946,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,5688.656290833907,None,,,0.0999999999999999,rbf,-1,True,9.366553703031555e-05,,,1.0,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
947,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,21.044090284143685,auto,False,True,1,l2,ovr,l2,0.024510269540752205,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,894,386,
948,,,,,gradient_boosting,,,,,,,,0.058182512064683035,8,4.83213168993791,1,8,100,0.8958580586531563,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
949,SAMME.R,None,0.9276517835135417,29,adaboost,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8709089557982943,False,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
950,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,50.0,chi2,,,,,,,,,,,,,,
951,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,86,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,8,None,6,3,72,min/max,,,,,,,,,,,,,,,,
952,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,1.044528272398438e-06,auto,,0.09135506768483397,True,0.5995442577156781,optimal,log,978,elasticnet,,142,437,
953,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,0.00038533634138752194,auto,,0.052531752415486604,True,,invscaling,hinge,933,l1,0.11394631332749366,,,
954,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,3262.4629292682885,None,,,1.2117888316264946,rbf,-1,False,6.532729085480227e-05,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
955,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,45.58786704434815,f_classif,,,,,,,,,,,,,,
956,,,,,libsvm_svc,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,28701.03524443669,None,,,1.7235049756420326,rbf,-1,False,0.0005655976773718127,,,,,random_trees_embedding,,,,,,,,,4,None,16,18,59,min/max,,,,,,,,,,,,,,,,
957,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,0.1607891203092412,auto,False,True,1,l2,ovr,l2,0.003132001743020477,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,12.995649597481664,chi2,,,,,,,,,,,,,,
958,,,,,multinomial_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,4.806093674710552,False,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
959,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,1817,92,
960,,,,,random_forest,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,False,gini,None,2.212697551518488,None,1,5,100,,,,,,min/max,,,,,,,,,,,,,,,,
961,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7172743834891605,False,pca,,,,,,,,,,,,,,standard,,,2.4285664536373797e-06,auto,,0.003919493944016835,True,,constant,squared_hinge,545,l2,,,,
962,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,0.14841031485102285,auto,False,True,1,l2,ovr,l2,0.03066405193716458,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
963,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,10,None,6,3,59,standard,,,0.06669598508931064,auto,,0.02407365457214498,True,0.18857440955513516,constant,squared_hinge,929,elasticnet,,,,
964,,,,,multinomial_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011189473543480195,False,,,select_percentile_classification,,,,,,,,,,,,,,min/max,55.04802184519001,chi2,,,,,,,,,,,,,,
965,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9931663907108419,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
966,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,1.4855261084480678,166,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,0.00018040326049235323,auto,,0.03271703150342346,True,0.23413310863336778,optimal,hinge,767,elasticnet,,,,
967,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,1.2651052184302571,874,0.231018488086345,auto,False,True,1,l2,ovr,l2,0.051865399525299054,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
968,SAMME.R,None,0.8654435791670128,43,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,78.4180408187895,f_classif,,,,,,,,,,,,,,
969,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,43.28467932401046,auto,False,True,1,l2,ovr,l2,0.0026464894621837875,,,,,,,,,,,,0.9910223239710946,False,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
970,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,0.4127124318741147,auto,,,0.594857911570967,rbf,-1,True,7.446943599424423e-05,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,72.79734719255016,f_classif,,,,,,,,,,,,,,
971,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
972,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,0.05130799167486725,auto,False,True,1,l2,ovr,l2,0.0781213466425982,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,9,None,1,12,87,min/max,,,,,,,,,,,,,,,,
973,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,70.45133471883602,f_classif,1.792209570790444e-05,auto,,0.02730270645423651,True,0.5206770333026354,invscaling,hinge,140,elasticnet,0.08540819142215178,,,
974,,,,,extra_trees,False,gini,None,1.3790376404492766,1,5,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,86.87265771303912,chi2,,,,,,,,,,,,,,
975,SAMME.R,None,0.8194562565677289,36,adaboost,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
976,,,,,gradient_boosting,,,,,,,,0.09713135029743362,7,3.220738047703019,10,19,100,0.8747749479116745,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.71680023439463,chi2,,,,,,,,,,,,,,
977,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,0.666537046888737,227,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
978,,,,,random_forest,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,True,entropy,None,0.7694915862913172,None,1,5,100,,,,,,min/max,89.36250232860428,chi2,,,,,,,,,,,,,,
979,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,51,5,uniform,,,,,,,,,,,,,,,,,,,,,,,0.9900070443444664,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
980,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,80,1,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
981,,,,,extra_trees,False,gini,None,1.424734283230876,1,4,100,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
982,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,7.316219744428554,False,,,random_trees_embedding,,,,,,,,,7,None,1,20,17,min/max,,,,,,,,,,,,,,,,
983,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,0.7915775407850372,auto,,,0.48249084128159836,rbf,-1,True,6.241328610414611e-05,,,0.9581229192551386,False,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
984,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,57.78344415922152,None,False,True,1,l2,ovr,l2,1.388238865571819e-05,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,1538,130,
985,,,,,gradient_boosting,,,,,,,,0.05752694403569764,10,1.5916657629018247,1,20,100,0.3603721199757989,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
986,SAMME.R,None,0.9763783445337685,49,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9668755990081517,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
987,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,5,2,distance,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,82.1161668221676,f_classif,,,,,,,,,,,,,,
988,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,median,auto,30,minkowski,21,1,distance,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,10,None,4,4,67,min/max,,,,,,,,,,,,,,,,
989,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,standard,,,1.0655481441281749e-07,None,,0.04953467026885325,True,,constant,perceptron,407,l2,,1500,68,
990,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,3.5599541275168244e-05,auto,,0.06879948486838096,True,,invscaling,hinge,943,l2,0.1512844821938863,,,
991,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,1.5980957867353214,auto,,,0.2918486667076106,rbf,-1,True,1.3635981728568355e-05,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
992,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,22.45175142593488,f_classif,,,,,,,,,,,,,,
993,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,40.58007282158365,None,0.06329196720783181,,8.828596932614229e-05,sigmoid,-1,True,0.0012369297274753385,,,,,random_trees_embedding,,,,,,,,,10,None,1,3,63,min/max,,,,,,,,,,,,,,,,
994,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,22.07676797039634,auto,False,True,1,l2,ovr,l2,0.00016188640952102744,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,44.790632011024066,f_classif,,,,,,,,,,,,,,
995,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023400824991384954,False,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
996,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,1604,199,
997,,,,,random_forest,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,True,gini,None,1.1923114853256624,None,2,10,100,,,,,,min/max,,,,,,,,,,,,,,,,
998,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9743025767396979,True,pca,,,,,,,,,,,,,,standard,,,4.498261640662718e-05,auto,,0.05587939107709843,True,,optimal,hinge,732,l1,,,,
999,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,31.057720926875458,auto,False,True,1,l2,ovr,l2,0.0006888952179968725,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
1000,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,10,None,1,20,46,standard,,,0.0008521025415689847,auto,,0.024463478295325334,True,,optimal,log,756,l2,,,,
1001,,,,,multinomial_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011071600338374418,False,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.60188957340209,chi2,,,,,,,,,,,,,,
1002,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9758737159981374,True,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1003,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,0.46336208705682796,2884,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,standard,,,1.0089376292673018e-07,auto,,0.006534495138574848,True,,constant,log,576,l2,,,,
1004,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,0.3788836262808265,4306,1.224120209813886,auto,False,True,1,l2,ovr,l2,0.09152164552855707,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
1005,SAMME.R,None,0.9524436108346638,47,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,88.08639820030008,chi2,,,,,,,,,,,,,,
1006,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,0.7503129209328822,auto,False,True,1,l2,ovr,l2,0.058210985896554886,,,,,,,,,,,,0.9525843539902945,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
1007,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,0.08160211383617699,None,,,0.040934052952539914,rbf,-1,True,4.9235982981079704e-05,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,39.47738287884672,f_classif,,,,,,,,,,,,,,
1008,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1009,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,0.036893030835257655,auto,False,True,1,l2,ovr,l2,0.05544667817159549,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,10,None,4,12,100,min/max,,,,,,,,,,,,,,,,
1010,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,standard,48.890874096808936,f_classif,5.4673835513596355e-05,auto,,0.0026385578545885732,True,,invscaling,hinge,528,l2,0.39341083506494723,,,
1011,,,,,extra_trees,False,gini,None,1.3634106627269014,2,16,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,78.22536618834542,f_classif,,,,,,,,,,,,,,
1012,SAMME.R,None,0.7139919592263466,50,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1013,,,,,gradient_boosting,,,,,,,,0.03523983957300026,7,0.5485573936819654,5,15,100,0.1535771753224381,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,65.36534510767129,f_classif,,,,,,,,,,,,,,
1014,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,1.7665814824194797,3660,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1015,,,,,random_forest,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,True,gini,None,0.9829673104522161,None,1,2,100,,,,,,min/max,32.07630633639851,chi2,,,,,,,,,,,,,,
1016,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,95,2,uniform,,,,,,,,,,,,,,,,,,,,,,,0.5013062151769179,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1017,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1018,,,,,extra_trees,False,entropy,None,3.390829769547504,9,6,100,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
1019,,,,,multinomial_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2607739866629907,True,,,random_trees_embedding,,,,,,,,,10,None,1,16,41,min/max,,,,,,,,,,,,,,,,
1020,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,111.38490540755622,None,-0.00900399033390653,1,0.0807256835943702,poly,-1,False,0.013579161986241884,,,0.8572631147224604,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1021,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,0.7842286485509975,None,False,True,1,l2,ovr,l2,1.023087730338045e-05,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,1980,81,
1022,,,,,gradient_boosting,,,,,,,,0.1561919603901461,2,3.3483305125257097,19,20,100,0.7189554917525354,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1023,SAMME.R,None,0.22869143275030313,11,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8766853147059617,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1024,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,median,auto,30,minkowski,49,2,distance,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,41.96469955257979,f_classif,,,,,,,,,,,,,,
1025,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,most_frequent,auto,30,minkowski,86,5,distance,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,7,None,3,14,100,standard,,,,,,,,,,,,,,,,
1026,,,,,sgd,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,1.1039148504963476e-06,None,,0.022104785494216118,True,,invscaling,hinge,290,l1,0.1587479917226801,1659,398,
1027,,,,,sgd,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,0.02031529805255718,None,,0.04610792710666078,True,,optimal,hinge,819,l1,,,,
1028,,,,,libsvm_svc,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,14.778668616592403,None,,,0.005355631784910927,rbf,-1,True,0.003929106841173746,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1029,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,33.87086800036198,f_classif,,,,,,,,,,,,,,
1030,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,72.7268148669318,auto,0.7777365047106115,5,0.2862301839390746,poly,-1,False,0.0006062722545998725,,,,,random_trees_embedding,,,,,,,,,10,None,2,15,100,min/max,,,,,,,,,,,,,,,,
1031,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,6.721484675202572,None,False,True,1,l2,ovr,l2,5.5513229151842834e-05,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,53.3710212496605,chi2,,,,,,,,,,,,,,
1032,,,,,multinomial_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,2.500201176524148,True,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1033,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparse_filtering,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,164,236,
1034,,,,,random_forest,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,True,gini,None,0.846949484590124,None,3,15,100,,,,,,min/max,,,,,,,,,,,,,,,,
1035,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985098523677118,False,pca,,,,,,,,,,,,,,min/max,,,0.00012327991021054938,None,,0.0037628988629594146,True,,invscaling,squared_hinge,869,l2,0.316745323652216,,,
1036,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,3.4974712185534416,auto,False,True,1,l2,ovr,l2,0.036876513562078654,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
1037,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,7,None,4,2,98,min/max,,,0.0026080075152937073,None,,0.0058711922577787,True,0.6006075927513842,optimal,log,640,elasticnet,,,,
1038,,,,,multinomial_nb,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2712687350031787,True,,,select_percentile_classification,,,,,,,,,,,,,,min/max,35.367500290294444,chi2,,,,,,,,,,,,,,
1039,,,,,gaussian_nb,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8834564918442789,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1040,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,0.3362328971719537,7753,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,4.80145049181108e-07,auto,,0.0006994869362338322,True,,constant,log,975,l2,,,,
1041,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,1.8608427361282418,7562,0.09021221293644419,auto,False,True,1,l2,ovr,l2,1.486863253462821e-05,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
1042,SAMME.R,None,0.5592124517705946,41,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,48.413112228644664,chi2,,,,,,,,,,,,,,
1043,,,,,liblinear,,,,,,,,,,,,,,,most_frequent,,,,,,,,,20.9880358935074,auto,False,True,1,l2,ovr,l2,0.000512709354004677,,,,,,,,,,,,0.9867219648702508,True,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
