idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,bernoulli_nb:alpha,bernoulli_nb:fit_prior,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,extra_trees_preproc_for_classification:bootstrap,extra_trees_preproc_for_classification:criterion,extra_trees_preproc_for_classification:max_depth,extra_trees_preproc_for_classification:max_features,extra_trees_preproc_for_classification:min_samples_leaf,extra_trees_preproc_for_classification:min_samples_split,extra_trees_preproc_for_classification:n_estimators,fast_ica:algorithm,fast_ica:fun,fast_ica:n_components,fast_ica:whiten,feature_agglomeration:affinity,feature_agglomeration:linkage,feature_agglomeration:n_clusters,gem:N,gem:precond,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kernel_pca:coef0,kernel_pca:degree,kernel_pca:gamma,kernel_pca:kernel,kernel_pca:n_components,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,pca:keep_variance,pca:whiten,preprocessor,proj_logit:max_epochs,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,truncatedSVD:target_dim
158,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,True,gini,None,4.679906513288976,None,2,14,100,,,,,,min/max,,,,84.59523622243124,chi2,,,,,,,,,,,,,,
159,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,ward,17,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,False,entropy,None,0.6085373012059554,None,2,8,100,,,,,,none,,,,,,,,,,,,,,,,,,,
160,,,,,none,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,complete,205,,,0.132645129092438,10,2.5234114234402294,20,9,100,0.8820072155228045,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
161,SAMME.R,0.08349267101319925,4,333,weighting,,,adaboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.11087853983921576,fdr,chi2,,,,,,,,,,,
162,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,False,entropy,None,0.7811993316342799,None,2,7,100,,,,,,none,,,,,,,,,,,,,,,,,,,
163,,,,,none,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,average,20,,,0.10586075379166182,8,2.772299113314056,16,9,100,0.6961047965721422,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
164,,,,,weighting,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11830867882118733,9,3.2410314643791933,3,15,100,0.9908602949324622,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.4196690732725025,fpr,f_classif,,,,,,,,,,,
165,,,,,weighting,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,complete,69,,,0.14194466604702857,10,1.5368999213294228,7,16,100,0.45454177181963495,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
166,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,False,gini,None,4.542921580351739,None,4,15,100,,,,,,standard,,,,,,0.24139939014478312,fpr,f_classif,,,,,,,,,,,
167,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.4885548695726767,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,normalize,7.187933551879066e-07,True,0.00986336427484975,,,,,,,,,,,,,,,,
168,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,1.4888174218851125,6163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,normalize,1.2787801663623532e-05,True,1.4884777855062068e-05,,,,,,,,,,,,,,,,
169,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,1.4045348600415881,1340,,,286.59417129514105,auto,False,True,1,l2,ovr,l2,5.276372456163393e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
170,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,7.379695966498172,rbf,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,,min/max,0.0021884476380996092,True,7.45743375754679e-05,,,,,,,,,,,,,,,,
171,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,1.1404912571629036,rbf,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,,min/max,0.0006175801691150821,True,0.0016794202552054458,,,,,,,,,,,,,,,,
172,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.9206461458905226,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,normalize,3.632693307004401e-05,True,1.0054658734150265e-05,,,,,,,,,,,,,,,,
173,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,-0.023369422770374237,3,2.5050870338784974,poly,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,,normalize,3.6749522270910022e-06,True,0.006679875714581342,,,,,,,,,,,,,,,,
174,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,0.08247047718820824,rbf,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,,standard,1.0359138723316846e-06,True,0.00011556363229628347,,,,,,,,,,,,,,,,
175,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027021038557835268,rbf,2935,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,,standard,0.0005576215871302008,True,0.00023009084723490464,,,,,,,,,,,,,,,,
176,,,,,weighting,,,random_forest,,,,,,,,,,,,,,True,entropy,None,0.5239681749411853,9,8,100,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,False,gini,None,1.1890519141833515,None,16,14,100,,,,,,min/max,,,,,,,,,,,,,,,,,,,
177,,,,,weighting,,,extra_trees,,,,,,,False,entropy,None,4.3784195500284016,13,8,100,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.1149855079397805,fwe,f_classif,,,,,,,,,,,
178,,,,,weighting,,,extra_trees,,,,,,,False,entropy,None,4.917561189298012,20,2,100,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,standard,,,,,,0.49482880299661913,fpr,f_classif,,,,,,,,,,,
179,,,,,weighting,,,extra_trees,,,,,,,False,entropy,None,1.1572916420402057,3,20,100,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7793669203643545,False,pca,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
180,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,1.2521308355670153,4,10,100,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7719315709302366,True,pca,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
181,,,,,weighting,,,extra_trees,,,,,,,False,entropy,None,4.178314448177218,15,18,100,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,,min/max,,,,80.12928983492995,f_classif,,,,,,,,,,,,,,
182,,,,,weighting,,,extra_trees,,,,,,,False,entropy,None,3.2484759762712523,12,8,100,,,,,,,,,,,,manhattan,complete,15,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
183,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,2.9388732548843306,13,15,100,,,,,,,,,,,,,,,12,0.36997821843619594,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
184,,,,,weighting,,,extra_trees,,,,,,,False,entropy,None,4.690980294148138,10,20,100,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953184748866043,True,pca,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
185,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,2.4456036847829115,7,2,100,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,0.9456102629733216,auto,False,True,1,l2,ovr,l2,8.04053428757657e-05,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
186,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,False,gini,None,1.413685624724987,3,16,100,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2425735203118156,auto,0.535490223803111,5,0.6863356710284476,poly,-1,False,4.479494313640825e-05,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
187,,,,,weighting,,,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,auto,30,44,1,uniform,,,,,,,,,,,,,,,,,,,1.040195520778803,None,False,True,1,l2,ovr,l2,0.0015190840961745117,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
188,,,,,none,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00045416346327043584,rbf,213,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,,none,6.022042578204316e-07,True,0.0001622217177300956,,,,,,,,,,,,,,,,
189,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26280316190374853,None,0.7924713701730282,4,4.23600870643181,poly,-1,True,0.0006876867846696301,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.30376437568548376,fwe,f_classif,,,,,,,,,,,
190,,,,,weighting,,,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,auto,30,98,1,uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,,min/max,,,,,,0.09262411044686181,fpr,f_classif,,,,,,,,,,,
191,,,,,weighting,,,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,0.01792792773763159,rbf,231,,,123,0.040609539030800695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
192,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,False,gini,None,0.9853736667520853,15,20,100,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.74891366228138,None,0.8485536258552624,5,0.22365375734957646,poly,-1,True,0.005902728980321818,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
193,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,False,entropy,None,3.107014560092127,12,20,100,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.8556237168935,auto,,,1.398683808653643,rbf,-1,True,0.00782609402304245,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
194,,,,,none,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,0.25320750447336815,4,0.06751348683592281,poly,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kernel_pca,,,,,,,,,,,,,,,,,min/max,3.3472120292634415e-06,True,0.0147407274737504,,,,,,,,,,,,,,,,
195,,,,,weighting,,,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,138,0.009653666470307923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22855523192822047,3,0.00198371816654214,poly,819,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
196,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.26226805266714137,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.29678086954925,auto,,,0.001441682334037442,rbf,-1,False,0.005849941870978864,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
197,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380.1509792153902,None,,,0.7180314073388504,rbf,-1,False,5.722646187881963e-05,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
198,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,deflation,exp,385,False,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13304.119793629812,None,,,2.602088967421995,rbf,-1,True,0.000522622475874745,,,,,,,,,,,,,,fast_ica,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
199,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.12002607181270153,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.07240602466312,None,,,0.02758943704429785,rbf,-1,False,0.0006083973714658915,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
200,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.071042309259055,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4456.986671130672,auto,-0.41156311028151515,,0.00011469677559025692,sigmoid,-1,False,2.712850381863528e-05,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
201,,,,,weighting,,,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,1.776048192544565,876,188,0.027228741628485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
202,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.36991298393098127,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.16736404793164,None,,,0.06117533858400478,rbf,-1,True,0.0008368862405001746,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
203,,,,,none,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,cosine,complete,284,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19419204292909148,auto,0.5870083587224788,3,2.052662700343491,poly,-1,False,1.9468374919902006e-05,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
204,,,,,none,,,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.1949644114602986,1546,24,0.02276235198300297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
205,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,average,249,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.8976116423085,None,,,2.3358974787037363,rbf,-1,False,1.2809326093090592e-05,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
206,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5640667504087885,True,pca,,,,,,,,,,,,,,,,,min/max,0.0017180089144651928,True,7.56604298531492e-05,,,,,,,,,,,,,,,,
207,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosine,77,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,,min/max,0.06405149318321472,True,0.0006960832271002049,,,,,,,,,,,,,,,,
208,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosine,83,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,,min/max,0.003137557478263151,True,1.9316961105742202e-05,,,,,,,,,,,,,,,,
209,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,,min/max,,,,11.291132425443916,chi2,,,,4.771563781752277e-06,,0.06724139995295429,True,,invscaling,squared_hinge,156,l1,0.6790261537337997,
210,,,,,none,,,gaussian_nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,,min/max,,,,25.217748033477676,f_classif,,,,,,,,,,,,,,
211,,,,,weighting,0.023504442077385997,True,bernoulli_nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,0.03271087801743472,None,False,True,1,l2,ovr,l2,0.028648854876295395,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
212,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,7786.880349791746,None,False,True,1,l2,ovr,l2,0.002103147497861712,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.01012662320757818,,0.027270950058611233,True,0.13343245718975538,invscaling,log,462,elasticnet,0.03611702634410053,
213,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819754140733538,True,pca,,,,,,,,,,,,,,,,,min/max,0.0028865219538548033,True,8.095568971199516e-05,,,,,,,,,,,,,,,,
214,,,,,weighting,,,gaussian_nb,,,,,,,,,,,,,,True,entropy,None,1.808988292695526,11,4,100,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
215,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,2504.254216012918,None,False,True,1,l2,ovr,l2,0.00026689702367746704,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,min/max,,,,,,,,,0.005365858854237892,,0.09823096892457579,True,,optimal,hinge,822,l1,,
216,,,,,none,,,extra_trees,,,,,,,False,entropy,None,4.853341200686344,7,3,100,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
217,,,,,none,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,False,entropy,None,2.9329872295890045,None,12,2,100,,,,,,normalize,,,,,,,,,,,,,,,,,,,
218,,,,,none,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,True,entropy,None,3.4456136506570587,None,10,6,100,,,,,,normalize,,,,,,,,,,,,,,,,,,,
219,,,,,none,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,True,entropy,None,4.086280269090924,None,16,12,100,,,,,,normalize,,,,,,,,,,,,,,,,,,,
220,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,False,gini,None,3.4190788258003786,None,7,11,100,,,,,,normalize,,,,,,,,,,,,,,,,,,,152
221,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,2.9021807018683274,3,18,100,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
222,,,,,none,,,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0080244112646099,rbf,611,,,,,,,nystroem_sampler,,,,,,,,,,,,,,,,,min/max,0.00017961137028292505,True,7.43487626789934e-05,,,,,,,,,,,,,,,,
